Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths,Category,Summary,Year
Western Severe Storms and Flooding (February 1986),Severe Storm,1986-02-14,1986-02-16,1515.1,529.8,13,Storms Events,"Severe storms and flooding affect the states CA, CO, NV, OR, WY across the West.",1986
Southeast Drought/Heat Wave (Summer 1986),Drought,1986-06-01,1986-08-31,5140.5,1803.6,100,Dry Weather Events,"Severe summer drought in parts of the southeastern U.S. with severe losses to agriculture. The states impacted include AL, AR, GA, LA, MS, NC, SC, TN and VA.",1986
Michigan Flooding (September 1986),Flooding,1986-09-10,1986-09-12,1132,400,10,Wet Weather Events,"Rainfall over a two-day period was 8 to 13 inches. Across Central Lower Michigan, 22 counties were declared disaster areas. Thousands of homes suffered first floor or basement damage throughout Michigan. More than 3,600 miles of roadways were impassable as the result of the failure of four primary road bridges and hundreds of secondary road bridges and culverts. A total of 14 dams were undermined. Thousands of acres of crops including sugar beets, beans, potatoes, corn, and other vegetables were ruined.",1986
U.S. Drought/Heat Wave (Summer 1988),Drought,1988-06-01,1988-08-31,54010.3,20003.8,454,Dry Weather Events,"1988 drought across a large portion of the U.S. with very severe losses to agriculture and related industries. Combined direct and indirect deaths (i.e., excess mortality) due to heat stress estimated at 5,000.",1988
Southern Derecho and Severe Storms (May 1989),Severe Storm,1989-05-01,1989-05-06,1389.8,551.5,21,Storms Events,"A derecho caused high wind damage across much of Texas into Louisiana. Severe storms cause damage in states across the South and Southeast. The states impacted include OK, TX, LA, MS, GA, SC, NC and VA.",1989
Tropical Storm Allison (June 1989),Tropical Cyclone,1989-06-26,1989-06-28,1474.2,585,11,Storm Events,Flooding from Tropical Storm Allison (1989) impacted Texas and Louisiana for days as Allison tracked inland. Most all of the damage was from flooding due to heavy rainfall with 20-25 inches in some locations. The slow progression of Allison also contributed to the increased rainfall totals.,1989
Hurricane Hugo (September 1989),Tropical Cyclone,1989-09-21,1989-09-22,22499.8,8999.9,86,Storm Events,Category 4 hurricane devastates South and North Carolina with ~20 foot storm surge and severe wind damage after hitting Puerto Rico and the U.S. Virgin Islands,1989
Northern Plains Drought (Summer-Fall 1989),Drought,1989-06-01,1989-11-30,7748.1,3003.2,0,Dry Weather Events,"Severe summer drought over much of the northern plains with significant losses to agriculture. The states impacted include CO, IA, IL, KS, MO, ND, NE, NV, SD, TX and UT.",1989
Florida Freeze (December 1989),Freeze,1989-12-23,1989-12-25,5160,2000,10,Wet Weather Events,Severe freeze damages citrus crops across central/northern Florida.,1989
"Winter Storm, Cold Wave (December 1989)",Winter Storm,1989-12-21,1989-12-26,1686.2,680,100,Wet Weather Events,"Winter storm and deep cold impacts the Northeast, South and Southeast. The states impacted include AL, AR, CT, FL, GA, IL, IN, KY, LA, ME, MO, MS, NC, NH, NY, OH, OK, PA, SC, TN, TX, VA, VT and WV.",1989
Southern Flooding (May 1990),Flooding,1990-05-11,1990-05-19,2436.7,1006.9,13,Wet Weather Events,"Torrential rains cause flooding along the Trinity, Red, and Arkansas Rivers in TX, OK, LA, and AR",1990
Colorado Hail Storm (July 1990),Severe Storm,1990-07-11,1990-07-11,1968.1,820.1,0,Storms Events,"Denver, CO (including airport) hit by severe hail storm. This was the costliest hail storm on record for Colorado when it occurred.",1990
Western Fire Season (Summer 1990),Wildfire,1990-06-01,1990-08-31,1694.7,715,17,Dry Weather Events,"Severe wildfire season in the western states due to drought and frequent winds, with more than 4.5 million acres burned nationally.",1990
California Freeze (December 1990),Freeze,1990-12-18,1990-12-25,8330,3400,0,Wet Weather Events,"Severe freeze in the Central and Southern San Joaquin Valley caused the loss of citrus, avocado trees, and other crops in many areas. Several days of subfreezing temperatures occurred, with some valley locations in the teens.",1990
"Severe Storms, Tornadoes (March 1991)",Severe Storm,1991-03-26,1991-03-29,1489.9,645,0,Storms Events,"Severe storms hit the Midwest, Southeast, Northeast. The states impacted include KS, IL, MI, IN, MS, TN, KY, OH, AL, PA, NY, GA, SC and NC.",1991
Hurricane Bob (August 1991),Tropical Cyclone,1991-08-18,1991-08-20,3441.6,1502.9,18,Storm Events,Category 2 hurricane brushes the Outer Banks of North Carolina before making landfall in Rhode Island. Its impacts were felt from North Carolina to Long Island and into New England.,1991
U.S. Drought (Spring-Summer 1991),Drought,1991-03-01,1991-08-31,6979.7,3008.5,0,Dry Weather Events,"Drought conditions over parts of the West, Central and eastern U.S. most affected the states IL, IN, KS, MN, OH, OR, PA, SD, and WA.",1991
Oakland Firestorm (October 1991),Wildfire,1991-10-01,1991-10-31,7491,3300,25,Dry Weather Events,"Oakland, California firestorm due to low humidity and high winds burned over 3,000 homes. This was the costliest urban wildfire to affect the United States since 1980 when it occurred.",1991
Severe Storms (March 1992),Severe Storm,1992-03-24,1992-03-25,1801.7,804.3,0,Storms Events,"Severe storms affect the South, Southeast. The states most impacted include Texas, Louisiana and Florida.",1992
"Hail, Tornadoes (April 1992)",Severe Storm,1992-04-28,1992-04-29,2137.9,954.4,0,Storms Events,Severe Storms hit Oklahoma and Texas with tornadoes and hail,1992
"Severe Storms, Hail (June 1992)",Severe Storm,1992-06-19,1992-06-20,1668,748,0,Storms Events,Severe storms with hail hit Kansas and Oklahoma,1992
Hurricane Andrew (August 1992),Tropical Cyclone,1992-08-23,1992-08-27,59940,27000,61,Storm Events,"Category 5 hurricane hits Florida and later impacts Louisiana as a category 3. High winds damage or destroy over 125,000 homes and leave at least 160,000 people temporarily homeless in Dade County, Florida alone. Initially rated as a category 4, Andrew was later upgraded to a category 5 upon further analysis. Andrew is one of four land falling category 5 hurricanes on record to affect the U.S. mainland in addition to Hurricane Camille (1969), the Labor Day Hurricane (1935) and Hurricane Michael (2018). Building codes in Florida were enhanced after Andrew to mitigate future hurricane wind damage.",1992
Hurricane Iniki (September 1992),Tropical Cyclone,1992-09-11,1992-09-12,6851,3100,7,Storm Events,Category 4 hurricane causes severe damage to the Hawaiian island of Kauai. Hurricane Iniki is the costliest and deadliest hurricane to affect Hawaii since 1900.,1992
Southeast Severe Weather (November 1992),Severe Storm,1992-11-21,1992-11-23,1445.4,657,26,Storms Events,"Three-day tornado outbreak strikes many Central and Eastern states including TX, LA, AL, MS, GA, AR, IN, OH, KY, TN, and NC. Major damage was reported across many areas, as more than 100 tornadoes were reported. This event remains one of the most prolific Fall season tornado outbreaks on record.",1992
Northeast Winter Storm (December 1992),Winter Storm,1992-12-10,1992-12-13,5462.6,2483,19,Wet Weather Events,"Slow-moving winter storm batters northeast U.S. coast, with the New England region hardest hit. The states impacted include VA, MD, DE, PA, NJ, NY, CT, RI, MA and WV.",1992
East Coast Blizzard and Severe Weather (March 1993),Winter Storm,1993-03-11,1993-03-14,12048.9,5527,270,Wet Weather Events,"The ""Storm of the Century"" impacts the entire Eastern seaboard from Florida to Maine. This historic storm dumped 2-4 feet of snow and caused hurricane force winds across many Eastern and Northeastern states. This caused power outages to over 10 million households. Additional impacts included numerous tornadoes across Florida causing substantial damage. This was the most destructive and costly winter storm to affect the United States (since 1980), until it was surpassed by the February 2021 winter storm and cold wave.",1993
Northern Plains and Ohio Valley Severe Weather (July 1993),Severe Storm,1993-07-08,1993-07-10,1391,644,1,Storms Events,"Severe storms caused high wind, hail and tornado damage across many Northern/Central Plains (NE, KS, MO, IA, MN, ND) and Ohio Valley states (IL, IN).",1993
Midwest Flooding (Summer 1993),Flooding,1993-06-27,1993-08-15,45904.2,20960.9,48,Wet Weather Events,"Severe, widespread flooding in central U.S. due to persistent heavy rains and thunderstorms. There was extensive damage to agriculture, infrastructure, homes and businesses in many areas across several states. Many river stations also established new records for historical flood heights. This is the most costly non-tropical, inland flood event to affect the United States on record.",1993
Southeast Drought and Heat Wave (Summer 1993),Drought,1993-06-01,1993-08-31,2755.1,1258,16,Dry Weather Events,"Drought and heat wave across Southeastern U.S. The states most impacted include AL, FL, GA, MD, NC, SC, TN, and VA.",1993
California Wildfires (Fall 1993),Wildfire,1993-09-01,1993-11-30,2948.7,1371.5,4,Dry Weather Events,"Dry weather, high winds and wildfires in Southern California",1993
"Winter Storm, Cold Wave (January 1994)",Winter Storm,1994-01-17,1994-01-20,2226,1040,70,Wet Weather Events,"Winter storm affects the Southeast and Northeast regions. The states impacted include CT, DE, IL, IN, KY, MA, MD, ME, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT and WV.",1994
Southeast Ice Storm (February 1994),Winter Storm,1994-02-08,1994-02-13,6384.8,2997.5,9,Wet Weather Events,"Intense ice storm with extensive damage in portions of TX, OK, AR, LA, MS, AL, TN, GA, SC, NC, and VA.",1994
Midwest/Plains Tornadoes (April 1994),Severe Storm,1994-04-25,1994-04-27,2088.3,985.1,3,Storms Events,"Tornadoes and severe storms cause damage in states across the South, Southeast and Midwest. The states impacted include TX, OK, AR, CO, KS, NE, IA, SD, IL, IN, MN and MO.",1994
Tropical Storm Alberto (July 1994),Tropical Cyclone,1994-07-07,1994-07-10,2096.9,998.5,32,Storm Events,"Remnants of slow-moving Alberto bring torrential 10-25 inch rains in 3 days, widespread flooding and agricultural damage in parts of Georgia, Alabama, and panhandle of Florida.",1994
Texas Flooding (October 1994),Flooding,1994-10-16,1994-10-25,2090,1000,19,Wet Weather Events,Torrential rain (10-25 inches in 5 days) and thunderstorms cause flooding across much of southeast Texas,1994
Western Fire Season (Summer-Fall 1994),Wildfire,1994-06-01,1994-11-30,1529.9,725,0,Dry Weather Events,"Severe wildfire season in the western states due to dry weather conditions. The states most impacted include CA, AZ, OR, WA, CO, UT, NV, NM and TX.",1994
California Flooding (January-March 1995),Flooding,1995-01-01,1995-03-31,5200,2500,27,Wet Weather Events,Frequent winter storms cause 20-70 inch rainfall and periodic flooding across much of California,1995
Texas Hail Storm (April 1995),Severe Storm,1995-04-28,1995-04-28,1184.5,575,0,Storms Events,"Texas hail storms cause considerable impacts to many homes, vehicles and crops. These hail impacts were focused from Waco to Fort Worth.",1995
South Plains Severe Weather (May 1995),Severe Storm,1995-05-05,1995-05-07,11247.3,5486.5,32,Storms Events,"Torrential rains, hail, and tornadoes across Texas-Oklahoma and southeast Louisiana-southern Mississippi, with Dallas and New Orleans areas (10-25 inch rains in 5 days) hardest hit.",1995
Hurricane Erin (August 1995),Tropical Cyclone,1995-08-01,1995-08-07,1734,850,6,Storm Events,"Hurricane Erin impacted Florida as a category 1 hurricane. Most of the damage resulted from heavy rainfall and flooding in Florida, Alabama and Mississippi.",1995
Hurricane Marilyn (September 1995),Tropical Cyclone,1995-09-15,1995-09-17,4284,2100,13,Storm Events,Category 2 hurricane impacts the U.S. Virgin Islands and Puerto Rico with maximum sustained winds of 110 mph.,1995
"Central, Southern and Northeast Drought/Heat Wave (September 1995)",Drought,1995-07-01,1995-09-30,2007.4,984,872,Dry Weather Events,"Historic mid-July heat wave and urban heat island amplification caused hundreds of deaths across several major cities including Chicago, Milwaukee, and Philadelphia. Following the heat wave was hot, dry weather in July and August 1995 that affected crops in numerous states, as crops had not rooted well due to late planting from previous wet soils. This left crops vulnerable to a flash drought during a key portion of the growing season.",1995
Hurricane Opal (October 1995),Tropical Cyclone,1995-10-04,1995-10-06,9518.6,4689,27,Storm Events,"Category 3 hurricane strikes Florida panhandle, Alabama, western Georgia, eastern Tennessee, and the western Carolinas, causing storm surge, wind, and flooding damage.",1995
Blizzard/Floods (January 1996),Winter Storm,1996-01-01,1996-01-31,6066,3003,187,Wet Weather Events,"Very heavy snowstorm (1-4 feet) over Appalachians, Mid-Atlantic, and Northeast; followed by severe flooding in parts of same area due to rain and snowmelt.",1996
Pacific Northwest Severe Flooding (February 1996),Flooding,1996-02-07,1996-02-12,2036.7,1008.3,9,Wet Weather Events,"Very heavy, persistent rains (10-30 inches) and melting snow over OR, WA, ID, and western MT.",1996
Southern Plains Drought (Spring-Summer 1996),Drought,1996-03-01,1996-08-31,3618.7,1791.5,0,Dry Weather Events,Severe drought in agricultural regions of southern plains--Texas and Oklahoma most severely affected,1996
Hurricane Fran (September 1996),Tropical Cyclone,1996-09-05,1996-09-08,9913.9,5007,37,Storm Events,"Category 3 hurricane strikes North Carolina and Virginia, over 10-inch 24-hour rains in some locations and extensive agricultural and other losses.",1996
New England Flooding (October 1996),Flooding,1996-10-19,1996-10-22,1338.4,676,1,Wet Weather Events,"The flooding damaged homes, businesses, vehicles and other infrastructure. Factories and mills in Lawrence, Haverhill and Lowell, Massachusetts were severely impacted. A total of 81 bridges needed to be rebuilt after to flood on area lakes and rivers. Communities such as Ocean Park, Old Orchard Beach and Westbrook were severely flooded. Communitites in southern Maine were aslo significantly damaged by floodwaters destroying homes, businesses and washing out raods, bridges and dams.",1996
West Coast Flooding (December 1996-January 1997),Flooding,1997-01-01,1997-01-11,5913.3,3017,36,Wet Weather Events,"Torrential rains (10-40 inches in 2 weeks) and snowmelt produce severe flooding over portions of CA, WA, OR, ID, NV, and MT.",1997
Mississippi and Ohio Valley Severe Weather and Flooding (March 1997),Severe Storm,1997-02-28,1997-03-05,1916,977.5,67,Storms Events,"Tornadoes and severe flooding hit the states of AR, MO, MS, TN, IL, IN, KY, OH, and WV, with over 10 inches of rain in 24 hours in Louisville.",1997
Northern Plains Flooding (Spring 1997),Flooding,1997-02-03,1997-05-24,7206,3676.5,11,Wet Weather Events,"Severe flooding in North Dakota, South Dakota and Minnesota due to heavy spring snow melt. This flooding caused widespread damage to agriculture, infrastructure, homes and businesses.",1997
Northeast Ice Storm (January 1998),Winter Storm,1998-01-05,1998-01-09,2705.4,1401.8,16,Wet Weather Events,"Intense ice storm hits Maine, New Hampshire, Vermont, and New York, with extensive forestry losses",1998
Western/Eastern Severe Weather and Flooding (Winter-Spring 1998),Severe Storm,1997-12-01,1998-02-28,1948.7,1004.5,132,Storms Events,"Tornadoes and flooding cause damage across the West and Southeast. The states impacted include CA, TX, FL, AL, GA, LA, MS, NC and SC.",1997
Minnesota Severe Storms/Hail (May 1998),Severe Storm,1998-05-15,1998-05-15,3132,1631.3,1,Storms Events,Very damaging severe thunderstorms with large hail over wide areas of Minnesota,1998
"Northern Plains and Great Lakes Derecho, Tornadoes (June 1998)",Severe Storm,1998-05-30,1998-06-02,2185.9,1138.4,20,Storms Events,"Severe storms in late May through early June hit the Midwest, North, Northeast, and Southeast",1998
Central and Eastern Severe Storms and Flooding (June 1998),Severe Storm,1998-06-20,1998-06-24,1716.5,894,12,Storms Events,"Severe storms and flooding impact numerous Central and Eastern states. In particular, these storms and floods affected many residences and businesses throughout north-central and eastern Ohio. More than 7,000 homes were affected and more than 1,000 structures were completely destroyed or declared uninhabitable.",1998
Tropical Storm Frances (September 1998),Tropical Cyclone,1998-08-08,1998-08-13,1337,700,2,Storm Events,Tropical Storm Frances caused extensive flooding in Texas and Louisiana. The rainfall totals from Frances were 10 to 20 inches across eastern Texas into southern Louisiana.,1998
Hurricane Bonnie (August 1998),Tropical Cyclone,1998-08-27,1998-08-29,1871.9,980,3,Storm Events,"Category 3 hurricane strikes eastern North Carolina and Virginia, extensive agricultural damage due to winds and flooding, with 10-inch rains in 2 days in some locations.",1998
Southern Drought and Heat Wave (Summer 1998),Drought,1998-06-01,1998-08-31,6809.1,3528,200,Dry Weather Events,"Severe drought and heat wave from Texas/Oklahoma eastward to the Carolinas. The states impacted include AL, AR, FL, GA, LA, MS, NC, OK, SC, TN, TX, and VA.",1998
Hurricane Georges (September 1998),Tropical Cyclone,1998-09-20,1998-09-29,11430.3,5984.5,16,Storm Events,"Category 2 hurricane strikes Puerto Rico, Virgin Islands, Florida Keys, and Gulf coasts of Louisiana, Mississippi, Alabama, and Florida panhandle, 15-30 inch 2-day rain totals in parts of Alabama and Florida",1998
Texas Flooding (October 1998),Flooding,1998-10-16,1998-10-24,1790,942.1,31,Wet Weather Events,"Severe flooding in southeast Texas from 2 heavy rain events, with 10-20 inch rainfall totals",1998
California Freeze (December 1998),Freeze,1998-12-20,1998-12-28,4825,2500,0,Wet Weather Events,A severe freeze damaged fruit and vegetable crops in the Central and Southern San Joaquin Valley. Extended intervals of sub 27° F temperatures occurred over an 8-day period.,1998
Central and Eastern Winter Storm (January 1999),Winter Storm,1999-01-01,1999-01-04,1962,1032.5,25,Wet Weather Events,"South, Southeast, Midwest, Northeast affected by damaging winter storm",1999
Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,1999-01-13,1999-01-16,1676.1,882,0,Wet Weather Events,"Winter storm affecting the Central and Eastern states including IL, IN, OH, MI, WV, VA, MD, PA, NJ, NY, MA, CT, VT, NH and ME.",1999
Oklahoma and Kansas Tornadoes (May 1999),Severe Storm,1999-05-03,1999-05-06,3782.7,2012.1,55,Storms Events,"Outbreak of F4-F5 tornadoes hit the states of Oklahoma and Kansas, along with Texas and Tennessee, Oklahoma City area hardest hit.",1999
Eastern Drought/Heat Wave (Summer 1999),Drought,1999-06-01,1999-08-31,4747.9,2498.9,502,Dry Weather Events,"Very dry summer and high temperatures, mainly in eastern U.S., with extensive agricultural losses. The states impacted include AL, AR, FL, GA, KY, LA, MD, MS, NC, NJ, OH, SC, TN, VA, WV and PA.",1999
Hurricane Floyd (September 1999),Tropical Cyclone,1999-09-14,1999-09-16,12073.2,6491,77,Storm Events,"Large, category 2 hurricane makes landfall in eastern NC, causing 10-20 inch rains in 2 days, with severe flooding in NC and some flooding in SC, VA, MD, PA, NY, NJ, DE, RI, CT, MA, NH, and VT.",1999
Southeast Winter Storm (January 2000),Winter Storm,2000-01-21,2000-01-24,1306.2,706,4,Wet Weather Events,"Strong winter storm causes disruption and damage over numerous southeastern states (AL, GA, NC, SC, TN, LA, VA). Record amounts of snowfall occured across central North Carolina, with snow totals in excess of 20 inches.",2000
Southern Severe Weather (March 2000),Severe Storm,2000-03-28,2000-03-29,1255.8,690,0,Storms Events,"Severe weather produced tornadoes, hail and high wind damage across Louisiana and Texas. The damage was most focused in northeastern Texas. These storms caused impacts to many homes, vehicles and businesses.",2000
Western Fire Season (Spring-Summer 2000),Wildfire,2000-03-01,2000-08-31,1956.5,1075,0,Dry Weather Events,"Severe wildfire season in the western states due to drought and frequent winds, with nearly 7 million acres burned.",2000
South Florida Flooding (October 2000),Flooding,2000-10-03,2000-10-04,1620,900,3,Wet Weather Events,Heavy rainfall up to 15 inches affected south Florida surrounding Miami that resulted in severe flooding that damaged thousands of homes and businesses. There was also several hundred million in damage done to agriculture.,2000
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,2000-03-01,2000-11-30,9244.8,4997.2,140,Dry Weather Events,"Western/Central/Southeast Drought/Heat Wave. The states impacted include AZ, AL, AR, CA, CO, FL, GA, IA, KS, LA, MS, MT, NE, NM, OK, OR, SC, TN, and TX.",2000
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Severe Storm,2001-04-06,2001-04-11,5477.7,3094.8,3,Storms Events,"Storms, tornadoes, and hail in the states of TX, OK, KS, NE, IA, MO, IL, IN, WI, MI, OH, KY, WV, and PA, over a 6-day period.",2001
North Central Severe Weather (May 2001),Severe Storm,2001-04-30,2001-05-01,1187.7,671,0,Storms Events,"Severe weather produced impacts across several north central states including Minnesota, Wisconsin, Iowa and Nebraska.",2001
Tropical Storm Allison (June 2001),Tropical Cyclone,2001-06-05,2001-06-17,14913.7,8522,43,Storm Events,"The persistent remnants of Tropical Storm Allison produce rainfall amounts of 30-40 inches in portions of coastal Texas and Louisiana, causing severe flooding especially in the Houston area, then moves slowly northeastward; fatalities and significant damage reported in TX, LA, MS, FL, VA, and PA",2001
Severe Storms and Tornadoes (April 2002),Severe Storm,2002-04-27,2002-04-28,3643.5,2093.8,7,Storms Events,"Numerous tornadoes and widespread hail damage over the Central and Eastern states including NC, GA, VA, TX, AR, MO, MS, TN, IL, IN, KY, PA, MD, NY, OH, WV, and KS.",2002
Hurricane Lili (October 2002),Tropical Cyclone,2002-08-01,2002-08-05,1910.8,1104.5,2,Storm Events,"Category 1 hurricane makes landfall in Louisiana after causing damage across Saint Lucia, Jamaica, Haiti and Cuba.",2002
Tropical Storm Isidore (September 2002),Tropical Cyclone,2002-09-25,2002-09-27,1989.5,1150,5,Storm Events,"Tropical Storm Isidore caused heavy rain, flooding, tornadoes and coastal storm surge that impacted Louisiana, Mississippi, Alabama and Tennessee. Rainfall exceeded 15 inches across southern Louisiana with storm surge over 8 feet.",2002
Eastern Tornadoes and Severe Storms (November 2002),Severe Storm,2002-11-09,2002-11-11,1238.4,720,28,Storms Events,"Tornado outbreak of over 100 tornadoes across many eastern states causes widespread damage (AL, MS, GA, TN, KY, OH, PA). Tennessee and Ohio had the highest count of tornadoes.",2002
U.S. Drought (Spring-Fall 2002),Drought,2002-03-01,2002-11-30,15851.3,9006.4,0,Dry Weather Events,"Moderate to extreme drought over large portions of more than 30 states, including the western states, the Great Plains, and much of the eastern U.S.",2002
Western Fire Season (Fall 2002),Wildfire,2002-09-01,2002-11-30,2288.5,1322.8,21,Dry Weather Events,"Major wildfires over 11 western states from the Rockies to the west coast due to drought and periodic high winds, with over 7.1 million acres burned.",2002
Severe Storms/Hail (April 2003),Severe Storm,2003-04-04,2003-04-07,3410.9,2006.3,3,Storms Events,"Severe storms and large hail over the southern plains and lower MS valley, with Texas hardest hit, and much of the monetary losses due to hail.",2003
