Name,Disaster,Begin Date,End Date,Summary,CPI-Adjusted Cost,Deaths
Northeastern Flooding and North Central Severe Weather (July 2023),Flooding,09/07/2023,15/07/2023,"Severe storms brought devastation and flooding to portions of the Northeast, as areas reported up to eight inches of rain within a 24-hour period. Montpelier, Vermont received a record-breaking 5.28 inches of rain, flooding the city and damaging thousands of homes and businesses. The wide scale flooding in Vermont was similar to the flood impacts from Hurricane Irene in 2011. Early estimates put the flood damage in West Point, New York at more than $100 ($102.0) million. There was also considerable damage to roads, bridges and agriculture across the Northeast. Severe storms also caused high wind and hail impacts across Wisconsin, Minnesota and Illinois.",2.2,10
Central Severe Weather (June 2023),Severe Storm,28/06/2023,02/07/2023,"Severe storms caused damage across numerous Central states. The state most impacted were Missouri, Illinois and Indiana while there were also damage in many surrounding states. The damage to many homes, vehicles, businesses and agriculture assets was largely from high wind and damaging hail but there were also scattered tornado impacts.",2.0,3
Rockies Hail Storms and Central and Eastern Severe Weather (June 2023),Severe Storm,21/06/2023,26/06/2023,"Severe hail storms across Colorado damaged many homes, vehicles and injured approximately 100 people at a large outdoor concert. This multi-day outbreak of severe weather also produced more than 60 tornadoes across portions of Wyoming, Colorado, Minnesota, Indiana, Kentucky and Arkansas that caused damage to homes, businesses, vehicles, agriculture and other infrastructure.",5.4,8
Central and Southern Severe Weather (June 2023),Severe Storm,15/06/2023,18/06/2023,"Severe storms produce over one thousand reports of damaging weather across Oklahoma, Texas, Mississippi, Georgia, Florida, Arkansas and Ohio. Among these reports were over 70 preliminary tornadoes including an EF-3 tornado in Louin, Mississippi. This combination of high winds, hail and tornadoes caused damage to homes, businesses, vehicles, agriculture and other infrastructure. The damage was most focused in Oklahoma.",3.9,5
Southern Severe Weather (June 2023),Severe Storm,11/06/2023,14/06/2023,"Numerous southern states including Texas, Louisiana, Mississippi, Alabama, Georgia, Tennessee, Arkansas, South Carolina and Florida were impacted by hail, tornadoes and high winds. These storms caused damage to many homes, vehicles and businesses across several days of severe storm activity.",4.2,0
Typhoon Mawar (May 2023),Tropical Cyclone,24/05/2023,25/05/2023,"A Category 4 Typhoon struck Guam on May 24 battering the island for 15 hours until the early morning of May 25. Typhoon Mawar's wind speeds of up to 145 mph damaged residential and commercial buildings, vehicles and infrastructure. Several U.S. military bases including Andersen Air Force Base sustained considerable damage. Guam's international airport also sustained flood damage.",4.4,2
Texas Hail Storms (May 2023),Severe Storm,18/05/2023,19/05/2023,"Texas hail storms impact numerous counties across north central Texas. Collin county in particular was impacted by golf ball to tennis ball sized hail causing damage to homes, vehicles and businesses.",1.7,0
Central and Eastern Tornadoes and Hail Storms (May 2023),Severe Storm,10/05/2023,12/05/2023,"Dozens of tornadoes and severe hail storms from the eastern Rockies and across several central states. The most costly severe hail impacts were focused in Colorado while numerous tornadoes also impacted western Kansas, central Oklahoma and eastern Nebraska. Texas and North Dakota were also impacted from combination of high winds, hail and isolated tornadoes with damage to homes, businesses, vehicles, farms and other infrastructure.",3.5,1
Central Severe Weather (May 2023),Severe Storm,06/05/2023,08/05/2023,"Severe weather across numerous central states including Missouri, Illinois, Iowa, and Indiana. There was additional damage in Kentucky, Tennessee, South Carolina and Texas. Large hail, high winds and torandoes caused widespread impact to many homes, businesses, vehicles, farms and other infrastructure.",2.2,1
Southern Severe Weather (April 2023),Severe Storm,25/04/2023,27/04/2023,"Southern severe weather across Texas, Georgia and Florida. Considerable hail and wind damage to many homes, businesses, vehicles and other infrastructure.",1.4,0
Central Severe Weather (April 2023),Severe Storm,19/04/2023,20/04/2023,"Severe hail, scattered tornadoes and high winds caused damage across numerous central states. Central Oklahoma was impacted by a cluster of tornadoes. Texas, Missouri, Nebraska, Kansas, Iowa, Illinois and Wisconsin was impacted by hail and high wind damage from severe storms.",3.0,1
Central and Southern Severe Weather (April 2023),Severe Storm,15/04/2023,15/04/2023,"Several central and southern states including Missouri, Arkansas, Illinois, Texas, Louisiana and the Florida Panhandle were impacted by hail, tornadoes and high winds. These storms caused damage to many homes, vehicles and businesses.",1.4,0
Fort Lauderdale Flash Flood (April 2023),Flooding,12/04/2023,13/04/2023,"Historical rainfall and flash flooding inundated Fort Lauderdale and surrounding areas with over 25 inches of rainfall in less than 24 hours. This resulted in many flooded homes, vehicles and businesses. The Fort Lauderdale Airport also closed on April 13 due to the flooding.",1.1,0
Central and Eastern Severe Weather (April 2023),Severe Storm,04/04/2023,06/04/2023,"Severe storms produced large hail, high winds and more than 35 tornadoes across many central and southern states. The states most affected were Illinois, Kentucky, Iowa, Indiana, Ohio, Missouri and Michigan where there was considerable damage to homes, businesses, agriculture, vehicles and other infrastructure.",2.9,5
Central Tornado Outbreak and Eastern Severe Weather (March 2023),Severe Storm,31/03/2023,01/04/2023,"A historic tornado outbreak across numerous central states caused widespread damage from at least 145 tornadoes. States most impacted were Illinois, Indiana, Ohio, Missouri, Iowa, Arkansas, Tennessee and Pennsylvania where there was severe damage to homes, businesses, vehicles, agriculture and other infrastructure.",5.8,33
Southern and Eastern Severe Weather (April 2023),Severe Storm,24/03/2023,26/03/2023,"Southern and eastern severe storms including more than 40 tornadoes caused damage across Mississippi, Alabama, Georgia, Tennessee to many homes, businesses, vehicles and other infrastructure. Additional high wind damage occurred in parts of Ohio, West Virginia and Pennsylvania.",2.9,23
California Flooding (December 2022 - March 2023),Flooding,26/12/2022,19/03/2023,"Numerous atmospheric rivers in continuous succession caused severe flooding, record snowfall and copious rainfall that significantly reduced drought deficits across California, between late-December and March 2023. Flooding impacted many homes, businesses, levees, agriculture and other infrastructure particularly across central California.",4.7,22
Southern and Eastern Severe Weather (March 2023),Severe Storm,02/03/2023,03/03/2023,"Severe storms impact numerous southern and eastern states including Texas, Alabama, Mississippi, Tennessee, Kentucky, Indiana and Ohio. Impacts from high wind and tornadoes cause widespread damage to homes, vehicles, businesses, government buildings and infrastructure.",6.1,13
Northeastern Winter Storm/Cold Wave (February 2023),Winter Storm,02/02/2023,05/02/2023,"A strong winter storm produced snow, high winds and bitter cold across numerous Northeastern states. High winds caused widespread power outages in Massachusetts while Mount Washington, New Hampshire observed a wind chill temperature of -108 degrees Fahrenheit. This was one of the coldest wind chill temperatures ever recorded in the United States.",1.8,1
Western/Central Drought and Heat Wave (2022),Drought,01/01/2022,31/12/2022,"Severe drought conditions impacted many Western and Central states. Large reservoirs across the West including Lake Mead, Lake Powell, Lake Oroville, and Shasta Lake, among others continue to be depleted. Lake Mead, the Nation's largest reservoir, is nearing dead pool status and is at the lowest level since it was filled in the 1930s. The Great Salt Lake is also near record-low levels. The impacts of the drought affected crop production across may states and sharply increased feeding costs for livestock. Many segments of the Mississippi River also experienced low water levels causing delays and reductions in river commerce. Extreme heat also developed for many days across Western and Central states. These excess heat conditions caused more than one hundred heat-related fatalities focused across Arizona, Nevada, California, Oregon and Texas. The 2022 drought was one of the costlier droughts on record, with a diverse array of direct impacts across different regions and industries.",23.3,136
Central and Eastern Winter Storm and Cold Wave (December 2022),Winter Storm,21/12/2022,26/12/2022,"Historic winter storm and powerful arctic front caused significant impact across much of the nation, bringing heavy rains, snow, ice and high winds that sent temperatures plummeting. More than 200 million people were under a winter weather advisory or warning and more than a million customers, from Texas to Maine, were left without power. Buffalo, New York was paralyzed by near hurricane force winds and continuous snow squalls, which contributed to dozens of fatalities in the region. Additional impacts were widespread frozen water pipes that led to extensive water damage in many homes, businesses and to other critical infrastructure.",8.9,87
Western Wildfires (Spring-Fall 2022),Wildfire,01/04/2022,30/11/2022,"Severe drought conditions and periods of extreme heat provided conditions favorable for another damaging western wildfire season most focused across New Mexico, Oregon, Idaho, Montana, California and Alaska. The Calf Canyon and Hermits Peak Fires in New Mexico merged in April consuming over 340,000 acres. This became the largest and most destructive wildfire on record in New Mexico - damaging or destroying over 1,000 structures. Other large wildfires included the Double Creek Fire (Oregon), the Moose Fire (Idaho), the Mosquito Fire (California), the Trail Creek Fire (Montana) and the Lime Complex Fire (Alaska), among many others. Over 7.5 million acres burned nationally during the 2022 wildfire season.",3.3,17
Hurricane Nicole (November 2022),Tropical Cyclone,10/11/2022,11/11/2022,"Category 1 Hurricane Nicole made landfall at North Hutchinson Island, Florida producing heavy rain, flooding and coastal erosion. Many of the Florida counties and communities impacted by Nicole were still recovering from the high wind and flooding impacts of Hurricane Ian several weeks earlier. This compounded the existing damage and recovery timeline. Nicole was the first hurricane to make landfall in Florida during November since Hurricane Kate in 1985.",1.1,5
Hurricane Ian (September 2022),Tropical Cyclone,28/09/2022,30/09/2022,"Ian made landfall near Cayo Costa, Florida, as a Category 4 Hurricane with sustained winds of 150 mph.More Info…",117.4,152
Hurricane Fiona (September 2022),Tropical Cyclone,17/09/2022,18/09/2022,"Category 1 Hurricane Fiona causes widespread power outage across central and western Puerto Rico. Extreme rainfall (12-18 inches) from an intensifying hurricane resulted in widespread flooding and mudslides causing damage to many homes, businesses, vehicles and other infrastructure. The regional power grid was also significantly impaired.",2.6,25
Kentucky and Missouri Flooding (July 2022),Flooding,26/07/2022,28/07/2022,"Eastern Kentucky and eastern Missouri were impacted by major flooding from a stalled frontal system, which damaged thousands of homes, businesses, vehicles and other infrastructure in late-July. Areas around St. Louis received 8-12 inches of rainfall that required swift water rescues due to flooded interstates and homes across the St. Louis metropolitan area. A large region of 5-10+ inches of rainfall across eastern Kentucky produced deadly flash flooding. Over 600 helicopter rescues and many swift water rescues by boat were needed to evacuate people who were trapped by the quickly-rising flood waters. The North Fork of the Kentucky River at Jackson also reached major flood stage setting a new record crest of 43.47' (the previous record was 43.1' set in 1939).",1.5,42
North Central and Eastern Severe Weather (July 2022),Severe Storm,22/07/2022,24/07/2022,"Severe weather with high winds and 19 tornadoes impact numerous states including North Dakota, Minnesota, Wisconsin, Michigan, Illinois, Indiana, Ohio, Pennsylvania, Virginia, Maryland and New York. Many homes, businesses, vehicles, agriculture and other infrastructure were damaged.",1.4,1
Central Derecho (June 2022),Severe Storm,13/06/2022,13/06/2022,"A powerful derecho carved a path a high wind damage across several states with the impacts focused in Michigan, Illinois, Indiana and Ohio. Thousands of trees were downed from the high winds causing damage to many homes, businesses, vehicles, power lines and other infrastructure. There was also considerable hail damage across southern Wisconsin.",3.4,1
Central Severe Weather (June 2022),Severe Storm,07/06/2022,08/06/2022,"Severe weather produced damaging hail, high wind and damage from more than two dozen tornadoes across numerous states including Colorado, Nebraska, Kansas, Missouri, Oklahoma, Texas, Iowa and Ohio. Hail and high wind damage was severe across much of Nebraska causing widespread damage to homes, businesses, vehicles, farms and agriculture and other infrastructure.",2.0,0
North Central Hail Storms (May 2022),Severe Storm,19/05/2022,19/05/2022,"Severe hail storms with numerous reports of golf-balled sized hail causing damage across southeastern Minnesota and western Wisconsin. These hail storms were south of the hail storms that damaged many homes, vehicles and businesses just 10 days earlier on May 9.",2.6,0
North Central Severe Weather (May 2022),Severe Storm,11/05/2022,12/05/2022,"Severe weather causes tornado, hail and high wind damage across several states including South Dakota, Nebraska, Minnesota and Wisconsin. Hail and high winds impacted southern Minnesota including the cities of St. Cloud and the Minneapolis metro area. In addition, numerous reports of high wind damage occurred across eastern Nebraska. There were also more than two dozen tornadoes that impacted eastern South Dakota and central Minnesota causing damage to homes, vehicles, businesses, agriculture and other infrastructure.",2.9,1
North Central Hail Storms (May 2022),Severe Storm,09/05/2022,09/05/2022,"Numerous hail storms caused extensive damage across south-central Minnesota and into western Wisconsin. There were many reports of golf ball to baseball-sized hail damaging homes, vehicles, businesses and other infrastructure.",2.3,0
Southern and Central Severe Weather (May 2022),Severe Storm,01/05/2022,03/05/2022,"Severe weather producing high winds and large, damaging hail impacted several Southern and Central states including Texas, Oklahoma, Ohio and Pennsylvania. Many homes, businesses, vehicles and agriculture assets were damaged.",1.2,1
Southern Severe Weather (April 2022),Severe Storm,11/04/2022,13/04/2022,"Severe weather including hundreds of damaging wind reports and dozens of tornadoes occurred across    Arkansas, Louisiana, Mississippi, Alabama, Texas, Tennessee and Kentucky. On April 11, tornadoes and damaging hail was focused across central Arkansas causing damage to homes, vehicles, outbuildings and farms and vegetation. April 12 and 13 produced widespread high wind reports and dozens of tornadoes across central Mississippi, northeast Arkansas and west-central Kentucky. These tornadoes produced damage to homes, businesses, farms, outbuildings and other infrastructure. There was also considerable hail damage across Wisconsin and Minnesota.",2.9,1
Southeast Tornado Outbreak (April 2022),Severe Storm,04/04/2022,06/04/2022,"A tornado outbreak on April 4-6 with a combined 100 preliminary tornadoes reported. The tornadoes occurred across Texas, Louisiana, Mississippi, Alabama, Georgia, Florida and South Carolina. Many of these tornadoes were clustered along the southern regions of Mississippi, Alabama, Georgia and South Carolina. During this three-day period many of these tornadoes were rated as either EF-1 or EF-0, but there were also nine EF-2, three EF-3 and one EF-4 tornado. This EF-4 occurred in Pembroke, Georgia on April 5th with winds of 185 mph that destroyed several neighborhoods. Many of the other tornadoes across the South caused considerable damage to homes, businesses, vehicles, and other infrastructure.",1.5,3
Southern Tornado Outbreak (March 2022),Severe Storm,30/03/2022,30/03/2022,"An outbreak of 83 tornadoes was focused across the Gulf Coast states including Louisiana, Mississippi, Alabama, and Florida.",1.4,2
Texas Hail Storms (February 2022),Severe Storm,21/02/2022,22/02/2022,"Overnight hail storms impacted numerous counties across north central Texas. In particular, the counties of Denton, Collin and Wise were impacted by ping pong to golf ball sized hail causing damage to homes, vehicles and businesses.",1.1,0
Western Wildfires (2021),Wildfire,01/06/2021,31/12/2021,"Severe drought conditions and periods of extreme heat provided conditions favorable for another damaging western wildfire season most focused across California, Colorado, Oregon, Washington, Idaho, Montana and Arizona. The Dixie Fire consumed over 960,000 acres making it the second-largest wildfire on record in California while also destroying more than 1,000 structures. California's Caldor Fire grew rapidly during August, threatening South Lake Tahoe communities and burned over 220,000 acres. Other large wildfires included the Ford Corkscrew Fire (Washington), the Bootleg Fire (Oregon), the Boundary Fire (Idaho), the Trail Creek Fire (Montana) and the Telegraph Fire (Arizona), among many others. There was also the Marshall Fire in Boulder County, Colorado on December 30 that damaged or destroyed more than 1,000 homes and businesses. This wildfire is the most destructive on record in Colorado. Throughout the wildfire season air quality was also a concern across numerous states, as ash and fine particulates from wildfires obscured the skies and made outdoor activities more hazardous. Over 7.1 million acres burned nationally during the 2021 wildfire season.",12.0,8
Western Drought and Heat Wave (2021),Drought,01/01/2021,31/12/2021,"Western drought conditions were persistent throughout 2021, as the drought expanded and intensified across many Western states. A historic heat wave also developed for many days across the Pacific Northwest shattering numerous all-time high temperature records across the region. This prolonged heat dome was maximized over the states of Oregon and Washington and extended well into Canada. These extreme temperatures impacted several major cities and millions of people. For example, Portland reached a high of 116 degrees F while Seattle reached 108 degrees F. These extreme temperatures caused hundreds of direct and indirect heat-related fatalities across Oregon and Washington, not including excess mortality that may be hundreds of additional deaths. This combined drought and heat rapidly dried out vegetation across the West, impacting agriculture. Low water levels also forced the hydroelectric power plant at Lake Oroville in California to shut down for the first time since it opened in 1967.",10.0,229
Midwest Derecho and Tornado Outbreak (December 2021),Severe Storm,15/12/2021,15/12/2021,"A rare, record-breaking December derecho and tornado outbreak caused widespread damage that was focused across Kansas, Nebraska, Iowa, Minnesota and Wisconsin. There were many reports of hurricane-force thunderstorm wind gusts and more than 50 tornadoes causing widespread damage to homes, vehicles, businesses and infrastructure. This was the first December derecho on record to occur within the United States. This event also produced the first December tornado on record in Minnesota since 1950, with 17 tornadoes reported across southeast Minnesota.",2.0,1
"Southeast, Central Tornado Outbreak (December 2021)",Severe Storm,10/12/2021,10/12/2021,"Historic December tornado outbreak across several southeast and central states caused devastating damage across many towns and cities. This outbreak produced two long-tracked EF-4 tornadoes across Arkansas, Missouri, Tennessee and Kentucky. The longest tornado track was nearly 166 miles across Kentucky and a small portion of Tennessee. This was the longest-tracked tornado on record in Kentucky and was a U.S. record tornado track length for the month of December. There were over 800 total miles of tornado path length on December 10. The peak intensity from this outbreak was EF-4 rated wind speeds of 190 mph in Mayfield, Kentucky. This day was also the deadliest December tornado outbreak recorded in the United States surpassing the Vicksburg, Mississippi tornado of December 5, 1953, which caused 38 fatalities.",4.4,93
Hurricane Nicholas (September 2021),Tropical Cyclone,14/09/2021,18/09/2021,"Category 1 Hurricane Nicholas made landfall near Sargent Beach, Texas on September 14 and moved slowly toward Louisiana over the next several days. This slow progression helped to produce flooding rainfall across regions of the Gulf Coast that were already saturated from Hurricane Ida.",1.2,0
Hurricane Ida (August 2021),Tropical Cyclone,29/08/2021,01/09/2021,"Category 4 Hurricane Ida made landfall near Port Fourchon, Louisiana with maximum sustained winds of 150 mph (240km/h) and a minimum central pressure of 930 mb. Ida was one of three hurricanes in recorded history to make landfall in Louisiana with 150 mph winds, along with Hurricane Laura in 2020 and the 'Last Island' hurricane of 1856. Grand Isle, Louisiana took a direct hit with 100% of its homes damaged and nearly 40% were nearly-to-completely destroyed. There was heavy damage to the energy infrastructure across southern Louisiana causing widespread, long duration power outages to millions of people. Parts of New Orleans were without power for nearly a week due to the widespread damage. As the remnants of Ida moved into the Northeast it merged with a frontal system creating severe weather and flash flooding across a wide region from eastern Pennsylvania to New York. Flash flood emergencies were declared in New Jersey and New York for the first time, producing damage to homes, businesses, vehicles and infrastructure while also causing dozens of fatalities.",83.9,96
Tropical Storm Fred (August 2021),Tropical Cyclone,16/08/2021,18/08/2021,"Tropical Storm Fred made landfall near Panama City, Florida. As Fred progressed northward it caused torrential flooding across the southern Appalachian Mountains with more than a foot of rainfall reported in some locations of western North Carolina. This flash flooding caused damage to many homes, businesses, vehicles, roads and bridges, in additional to several fatalities. Fred also produced nearly a dozen tornadoes across the Northeast as it moved up the East Coast.",1.5,7
North Central Severe Weather (August 2021),Severe Storm,10/08/2021,13/08/2021,"Widespread high wind impacts across numerous North Central states including Illinois, Michigan, Wisconsin, Indiana, Ohio and Missouri. This multi-day event caused damage to infrastructure, homes, vehicles and businesses.",1.5,2
Central Severe Storms (July 2021),Severe Storm,08/07/2021,11/07/2021,"Severe storms caused considerable hail damage across numerous Central states including Missouri, Nebraska, Iowa, South Dakota, North Dakota, New Mexico and Texas. There was also widespread high wind damage to homes, vehicles and businesses in many other surrounding states.",1.2,0
Tropical Storm Elsa (July 2021),Tropical Cyclone,07/07/2021,09/07/2021,"Tropical Storm Elsa made landfall in Taylor County, Florida producing heavy rain, wind, flooding and tornadoes in portions of Florida, Georgia and the Carolinas, as well as flooding across parts of the Northeast. Southern New England and New York's Long Island experienced flash flooding, leading to impassable roads, stranded vehicles and disruption. Elsa was the earliest fifth-named storm on record.",1.4,1
Central Severe Storms (June 2021),Severe Storm,24/06/2021,26/06/2021,"A combination of thunderstorm high winds, hail and tornadoes affected numerous Central states. The states most affected included Michigan, Illinois, Indiana, Ohio, Missouri, Kansas and Texas with damage to homes, businesses, vehicles and agriculture.",1.4,0
Ohio Valley Hail Storms (June 2021),Severe Storm,17/06/2021,18/06/2021,"Damaging hail storm and high wind impacts across several states including Ohio, Illinois, Indiana, Michigan, Wisconsin, Minnesota, Iowa and Missouri. The hail impacts were most severe in southeastern Minnesota, southern Iowa, southeastern Indiana and southwestern Ohio, with damage to many homes, vehicles and businesses.",2.0,0
Louisiana Flooding (May 2021),Flooding,17/05/2021,18/05/2021,"Torrential rainfall from thunderstorms across Louisiana and coastal Texas caused widespread flooding and resulted in hundreds of water rescues. Baton Rouge and Lake Charles experienced flood damage to thousands of homes, vehicles and businesses, as more than 12 inches of rain fell. Lake Charles also continues to recover from the widespread damage caused by Hurricanes Laura and Delta less than 9 months before this flood event.",1.6,5
Southern Tornadoes and Southeast Severe Weather (May 2021),Severe Storm,02/05/2021,04/05/2021,"Tornadoes and severe storms with widespread high wind and large hail cause damage across many Southern and Southeastern states including Mississippi, Texas, Arkansas, Alabama, Georgia, South Carolina, North Carolina, and Tennessee. There were over 111 confirmed tornadoes largely clustered in central Mississippi and surrounding states.",1.5,4
Texas and Oklahoma Severe Weather (April 2021),Severe Storm,27/04/2021,28/04/2021,"Severe weather including tornadoes, high wind, localized flooding and large hail cause widespread impacts across central Texas and Oklahoma. There was considerable damage across Texas and Oklahoma to many homes, vehicles and businesses particularly from hail storms. Several of the more impacted areas include west of San Antonio, north of Fort Worth, and southwest of San Marcos.",3.7,0
Texas Hail Storms (April 2021),Severe Storm,12/04/2021,15/04/2021,"A series of hail storms impacted central Texas causing damage to many homes, vehicles and businesses. There was considerable hail damage northeast of Austin, west of Georgetown and southwest of The Woodlands.",1.7,0
Eastern Severe Weather (March 2021),Severe Storm,27/03/2021,28/03/2021,"Severe weather producing hail, high wind and more than two dozen tornadoes impacted numerous states including Arkansas, Alabama, Georgia, Mississippi, South Carolina, North Carolina and Virginia. Tennessee was also affected with significant flooding in Nashville and surrounding areas that damaged businesses, homes and vehicles. There were also many high wind damage reports across Pennsylvania, Maryland and New Jersey.",1.6,8
Southeast Tornadoes and Severe Weather (March 2021),Severe Storm,24/03/2021,25/03/2021,"At least 41 tornadoes impact several states including Kentucky, Tennessee, Mississippi, Alabama and Georgia. These included one EF-4, four EF-3s, ten EF-2s and approximately two-dozen EF-1 or EF-0 tornadoes. The strongest of these tornadoes were focused across central Alabama and western Georgia with tracks across the entire width of Alabama. There was widespread damage to homes, businesses, vehicles and infrastructure.",2.0,6
